assay,n,f1_mean,f1_std,f1_min,f1_max
6,9,0.20265571773052216,0.06286369264125824,0.11428570747375488,0.30449825525283813
21,9,0.1712939441204071,0.026965441182255745,0.13445377349853516,0.2293577939271927
22,9,0.1655828356742859,0.0379730649292469,0.12030074745416641,0.2310756891965866
23,9,0.21428686380386353,0.01929369941353798,0.17307691276073456,0.25
24,9,0.15935619175434113,0.015030824579298496,0.13333332538604736,0.18487393856048584
25,9,0.14856763184070587,0.038389865309000015,0.11363635957241058,0.21862347424030304
26,9,0.14296701550483704,0.028856365010142326,0.09160304814577103,0.1818181723356247
27,9,0.14546805620193481,0.06708210706710815,0.0734693855047226,0.27586206793785095
28,9,0.17290204763412476,0.0626790001988411,0.09865470230579376,0.2857142686843872
29,9,0.31704139709472656,0.03791153058409691,0.23529411852359772,0.37735849618911743
30,9,0.19781264662742615,0.17377054691314697,0.03686635568737984,0.5333333015441895
31,9,0.3698672652244568,0.09253524988889694,0.1538461446762085,0.4761904776096344
32,9,0.30824053287506104,0.10041751712560654,0.1818181723356247,0.47058823704719543
33,9,0.38407614827156067,0.15671618282794952,0.07692307233810425,0.6060606241226196
0,9,0.4766298830509186,0.07146985083818436,0.37078651785850525,0.5954198241233826
1,9,0.23134493827819824,0.09463569521903992,0.08810572326183319,0.35483869910240173
2,9,0.14583593606948853,0.05290580168366432,0.07482992857694626,0.24666665494441986
3,9,0.47794246673583984,0.07672163844108582,0.3498542308807373,0.5806451439857483
4,9,0.4245077967643738,0.06568515300750732,0.35199999809265137,0.5482456088066101
5,9,0.12126755714416504,0.0751146599650383,0.054421763867139816,0.2857142686843872
8,9,0.2396264374256134,0.04003980755805969,0.1821705400943756,0.3115384578704834
9,9,0.2308066189289093,0.05578514561057091,0.16931216418743134,0.307692289352417
10,9,0.5320959091186523,0.09538010507822037,0.37617555260658264,0.6666666865348816
11,9,0.42752161622047424,0.06939781457185745,0.32065215706825256,0.5187713503837585
12,9,0.44465363025665283,0.07962018251419067,0.3306122422218323,0.5898876190185547
13,9,0.17086879909038544,0.060183554887771606,0.09440559148788452,0.30170315504074097
14,9,0.5047361850738525,0.052350468933582306,0.4245283007621765,0.5945945978164673
15,9,0.35239723324775696,0.0681181252002716,0.2508474588394165,0.455089807510376
17,9,0.4390246272087097,0.0739745944738388,0.30188679695129395,0.5333333015441895
19,9,0.502539336681366,0.07143000513315201,0.38181817531585693,0.5888324975967407
20,9,0.1854531168937683,0.04924643412232399,0.1274658590555191,0.30188679695129395
