stage,global_epoch,local_epoch,train_time_sec,train_lr,train_loss,train_loss_recon_total,train_loss_recon_exact_total,train_loss_recon_tol_total,train_loss_vq,train_loss_enc_var,train_loss_code_norm,train_loss_cont_projection,train_loss_cont_parent_margin,train_cont_alpha_entropy,train_cont_alpha_mean_entropy,train_cont_alpha_sample_entropy,train_cont_alpha_final_entropy,train_cont_alpha_final_usage_entropy,train_cont_alpha_mean_max,train_cont_alpha_sample_max,train_cont_alpha_final_max,train_cont_adapter_delta_logit_norm,train_cont_alpha_adapter_enabled,train_cont_residual_norm,train_cont_safe_radius,train_cont_hull_scale,train_cont_hull_scale_delta,train_cont_hull_expansion_fraction,train_cont_geometric_projection_mse,train_cont_distance_reference_mse,train_cont_hard_vertex_mse,train_cont_projection_gain_vs_hard,train_cont_decode_uses_projection_target,train_continuous_sample_mix,train_continuous_gumbel_tau,train_continuous_posterior_temperature,train_blank,train_blank_sep,train_loss_isi,train_loss_ctx,train_loss_ctx_field,train_loss_sp_cons,train_loss_sp_token,train_loss_sp_pixel,train_lambda_sp_token_eff,train_lambda_sp_pixel_eff,train_sp_memory_used,train_adj_memory_used,train_adj_pred_mean,train_adj_upper_allowed_mean,train_adj_lower_allowed_mean,train_adj_tgt_mean,train_adj_conf_mean,train_avg_vq_blank_frac,train_avg_vq_residual_norm,train_avg_vq_commit,train_avg_vq_usage,train_blank_token_norm,train_activity_offset_norm,train_pos_weight_eff,train_lambda_ctx_eff,train_lambda_isi,train_lambda_vq,train_cfg_drop_prob,train_training_prob_threshold_used,train_pred_mean_p,train_tgt_mean,train_loss_recon_l1,train_loss_recon_l1_exact,train_loss_recon_l1_tol,train_loss_recon_l2,train_loss_recon_l2_exact,train_loss_recon_l2_tol,train_perplexity_nonblank_l1,train_active_codes_nonblank_l1,train_child_per_active_parent_l1,train_vq_commit_l1,train_vq_usage_l1,train_vq_soft_usage_raw_l1,train_perplexity_nonblank_l2,train_active_codes_nonblank_l2,train_child_per_active_parent_l2,train_vq_commit_l2,train_vq_usage_l2,train_vq_soft_usage_raw_l2,train_vq_num_levels,train_vq_near_zero_thresh,train_vq_l1_num_codes,train_vq_l1_code_dim,train_vq_l1_alive,train_vq_l1_dead,train_vq_l1_alive_frac,train_vq_l1_dead_frac,train_vq_l1_norm_min,train_vq_l1_norm_max,train_vq_l1_norm_mean,train_vq_l1_norm_std,train_vq_l1_cos_max,train_vq_l1_cos_min,train_vq_l1_cos_mean,train_vq_l1_cos_std,train_vq_l2_num_codes,train_vq_l2_code_dim,train_vq_l2_alive,train_vq_l2_dead,train_vq_l2_alive_frac,train_vq_l2_dead_frac,train_vq_l2_norm_min,train_vq_l2_norm_max,train_vq_l2_norm_mean,train_vq_l2_norm_std,train_vq_l2_cos_max,train_vq_l2_cos_min,train_vq_l2_cos_mean,train_vq_l2_cos_std,train_vq_total_codes,train_vq_total_alive,train_vq_total_dead,train_vq_total_alive_frac,train_vq_total_dead_frac,train_AUPRC_tol_cond,val_val_loss_BCE,val_val_loss_BCE_full,val_val_loss_vq,val_val_loss_BCE_cond,val_val_loss_BCE_full_cond,val_val_loss_vq_cond,val_AUPRC_cond,val_BestF1_cond,val_BestF1_threshold_cond,val_AUPRC_tol_cond,val_BestF1_tol_cond,val_BestF1_threshold_tol_cond,val_eval_count,val_eval_density,val_eval_mask_frac,val_cont_adapter_projection_mse,val_cont_geometric_projection_mse,val_cont_distance_reference_mse,val_cont_hard_vertex_mse,val_val_loss_recon_ref1_cond,val_val_loss_recon_ref1_exact_cond,val_val_loss_recon_ref1_tol_cond,val_val_loss_recon_ref2_cond,val_val_loss_recon_ref2_exact_cond,val_val_loss_recon_ref2_tol_cond,val_val_loss_BCE_uncond,val_val_loss_BCE_full_uncond,val_val_loss_vq_uncond,val_AUPRC_uncond,val_BestF1_uncond,val_BestF1_threshold_uncond,val_AUPRC_tol_uncond,val_BestF1_tol_uncond,val_BestF1_threshold_tol_uncond,val_val_loss_recon_ref1_uncond,val_val_loss_recon_ref1_exact_uncond,val_val_loss_recon_ref1_tol_uncond,val_val_loss_recon_ref2_uncond,val_val_loss_recon_ref2_exact_uncond,val_val_loss_recon_ref2_tol_uncond,is_base,is_finetune,base_best_epoch,ft_shift_offset
base,1,1,318.55340027809143,0.0009999728588359286,1.9931886951128641,1.451608451207479,0.801950617134571,0.6496578467388948,0.03334379658723871,0.5082364420096079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35,10.903996022542318,0.01146404726574488,0.03649560872193736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2138642666240533,0.06666097144285837,0.04266302281369765,0.053328777104616164,0.9996986508369445,0.9179545084635417,0.3005195866028468,0.032474929156402745,0.0008688676966509472,0.1730150282382965,0.17702516913414001,100.0,0.0,0.01,1.0,0.0,0.5,0.40983219345410665,0.0001201956603229822,1.1461594104766846,0.5345537732044856,0.6116056501865387,0.6108980784813564,0.534793687860171,0.07610439310471216,6.357436398665111,9.533333333333333,1.0,0.040680913844456275,0.0016275932275069257,1.6275931517283122,28.17523613770803,48.53333333333333,5.116470288970289,0.02426894485640029,0.00011014214736254265,0.11014214356740316,2,1e-06,32,64,32,0,1.0,0.0,0.6235719919204712,5.251309871673584,2.3155252933502197,1.6494855880737305,0.8157787322998047,-0.7188355922698975,0.013089646585285664,0.20640918612480164,256,64,256,0,1.0,0.0,0.6091715693473816,4.255905628204346,1.4054211378097534,0.8199954628944397,0.9648332595825195,-0.8820333480834961,0.002205798402428627,0.17766819894313812,288,288,0,1.0,0.0,0.01219958450241603,0.41445815563201904,0.41445815563201904,0.05039598202953736,0.41445815563201904,0.41445815563201904,0.05039598202953736,0.0008424188978940984,0.002644255943030684,0.3199999928474426,0.01219958450241603,0.03961147764163787,0.3199999928474426,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.41445815563201904,0.3096493308742841,0.10480883034567039,0.0,0.0,0.0,0.41445815563201904,0.41445815563201904,0.05039598202953736,0.0008424188978940984,0.002644255943030684,0.3199999928474426,0.01219958450241603,0.03961147764163787,0.3199999928474426,0.41445815563201904,0.3096493308742841,0.10480883034567039,0.0,0.0,0.0,1,0,279,279
base,2,2,315.15835070610046,0.0009998914383200486,1.130708106358846,0.900060357650121,0.4221624113619328,0.4778979431837797,0.038370949278275175,0.1891772575676441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038533328335899064,0.999229333433282,0.35,10.070266151428223,4.376026241743602e-05,0.0008809342660242691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012375721560480694,0.06692541477580866,0.04283226622889439,0.05354033224284649,0.9996994157632192,0.9194783528645833,0.30178819050391514,0.03752026626219352,0.0008506828860845416,0.18062394857406616,0.17583994567394257,99.97557473810372,0.0,0.01,1.0,0.0,0.5,0.23410073618094127,0.00011714551801560447,0.7158854166666667,0.2813134973247846,0.43457191983858745,0.36834987501303357,0.28169782807429633,0.08665204669038455,6.977216482162476,16.266666666666666,1.0,0.05214355116089185,0.0015844515757635236,1.5844515005747477,34.68076651891072,75.03333333333333,4.589278399618958,0.02289698108409842,0.00011691418634048507,0.11691418091456095,2,1e-06,32,64,32,0,1.0,0.0,0.623572051525116,7.245599269866943,3.967867136001587,2.291476011276245,0.881941556930542,-0.9522340297698975,-0.0022019492462277412,0.3188779056072235,256,64,256,0,1.0,0.0,0.6660366058349609,4.255905628204346,1.9533162117004395,0.9675644636154175,0.9648332595825195,-0.8674207329750061,0.00504299346357584,0.2344983071088791,288,288,0,1.0,0.0,0.0033463193059879407,0.2881115799148877,0.2881115799148877,0.03585604981829723,0.2881115799148877,0.2881115799148877,0.03585604981829723,0.00035036658118736637,0.0017744705208929594,0.3100000023841858,0.0033463193059879407,0.013995420721236405,0.3100000023841858,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.2881115799148877,0.14053253705302873,0.14757904162009558,0.0,0.0,0.0,0.2881115799148877,0.2881115799148877,0.03585604981829723,0.00035036658118736637,0.0017744705208929594,0.3100000023841858,0.0033463193059879407,0.013995420721236405,0.3100000023841858,0.2881115799148877,0.14053253705302873,0.14757904162009558,0.0,0.0,0.0,1,0,279,279
base,3,3,319.85196566581726,0.0009997557473810372,0.7408154944578806,0.5985250373681387,0.21754543396333853,0.3809796071300904,0.031093283059696355,0.09975355888406436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015389574256077787,0.9969220851487844,0.35,9.352502886454264,3.796943788678675e-05,0.001252868257385368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0014578766888007522,0.06771379088362058,0.04333682643870513,0.05417103221019109,0.9996923625469207,0.9188151041666667,0.2742233783006668,0.030344271721939247,0.0007490111805964261,0.18565839529037476,0.17563799023628235,99.90232305719944,0.0,0.01,1.0,0.0,0.5,0.11366398086150488,0.00011968542057729791,0.4727560410896937,0.14503168364365895,0.3277243624130885,0.25153799057006837,0.14502750063935915,0.10651048943400383,8.674548927942912,19.733333333333334,1.0,0.0418336736659209,0.0013680403858112792,1.3680403153101603,44.1959849913915,94.16666666666667,4.690018216379772,0.018854870026310287,0.00012998196931827502,0.12998196283976238,2,1e-06,32,64,32,0,1.0,0.0,0.7022356986999512,8.691666603088379,5.589212417602539,2.3511383533477783,0.9145852327346802,-0.9568585157394409,-0.006823242641985416,0.3936302363872528,256,64,256,0,1.0,0.0,0.6660365462303162,4.685856819152832,2.3292829990386963,0.9838147163391113,0.9648332595825195,-0.9519164562225342,0.0042368327267467976,0.284319132566452,288,288,0,1.0,0.0,0.00359581712227888,0.23630608494083086,0.23630608494083086,0.031414073426276445,0.23630608494083086,0.23630608494083086,0.031414073426276445,0.00018477726742637172,0.001035924377520441,0.3400000035762787,0.00359581712227888,0.011452257333931586,0.3100000023841858,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.23630608494083086,0.06632107682526112,0.16998501121997833,0.0,0.0,0.0,0.23630608494083086,0.23630608494083086,0.031414073426276445,0.00018477726742637172,0.001035924377520441,0.3400000035762787,0.00359581712227888,0.011452257333931586,0.3100000023841858,0.23630608494083086,0.06632107682526112,0.16998501121997833,0.0,0.0,0.0,1,0,279,279
base,4,4,324.5264301300049,0.000999565800898935,0.6001631657282511,0.49525632162888844,0.14048830059667428,0.3547680307179689,0.025488926221927007,0.053998582251369956,3.897349039713542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034537599502904304,0.9930924800994192,0.35,9.327322864532471,4.828659593651234e-08,0.001183361631895726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0027985838474705814,0.06764146325488886,0.043290536974867184,0.05411316913863023,0.9996864497661591,0.9184529622395833,0.24665111154317856,0.025002997368574142,0.0004859288858521419,0.18936653435230255,0.17614541947841644,99.78031724785247,0.0,0.01,1.0,0.0,0.5,0.05790757027765115,0.00012047661687878039,0.3846716781457265,0.09368415536979834,0.29098752737045286,0.22116929491360982,0.09360829045375188,0.12756100669503212,13.958542092641194,23.9,1.0,0.034689582387606305,0.000904423589236103,0.9044235348701477,74.63490118980408,128.06666666666666,5.210224836545618,0.01531641250476241,6.743419980921317e-05,0.06743419567743937,2,1e-06,32,64,32,0,1.0,0.0,4.014297008514404,9.838407516479492,7.548760414123535,1.4858489036560059,0.9697296023368835,-0.9541146755218506,-0.01245962269604206,0.5090728998184204,256,64,256,0,1.0,0.0,0.7146288156509399,5.504063606262207,2.5716259479522705,0.815960705280304,0.9963517785072327,-0.945241391658783,0.0024227574467658997,0.37088996171951294,288,288,0,1.0,0.0,0.004884518670346415,0.21546116098761559,0.21546116098761559,0.024383600025127333,0.21546116098761559,0.21546116098761559,0.024383600025127333,0.00020625563199675132,0.0029427792915531336,0.3400000035762787,0.004884518670346415,0.02762942779291553,0.3400000035762787,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.21546116098761559,0.039313908045490585,0.1761472523212433,0.0,0.0,0.0,0.21546116098761559,0.21546116098761559,0.024383600025127333,0.00020625563199675132,0.0029427792915531336,0.3400000035762787,0.004884518670346415,0.02762942779291553,0.3400000035762787,0.21546116098761559,0.039313908045490585,0.1761472523212433,0.0,0.0,0.0,1,0,279,279
base,5,5,322.2465283870697,0.0009993216197035143,0.5767567038536072,0.4776581823825836,0.12005768405894439,0.3576004905005296,0.02265253153940042,0.03117231687841316,4.1260321935017905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006117935463105795,0.9877641290737884,0.35,9.481376266479492,4.858561813610625e-08,0.0011234094699223837,4.873655152320862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0037685527621457975,0.06660325018068154,0.042626081593334676,0.053282600144545236,0.9997000694274902,0.916729736328125,0.22626229673624038,0.022289239056408405,0.00036329256933337697,0.19201600551605225,0.17666423320770264,99.60967771506667,0.0,0.01,1.0,0.0,0.5,0.03703197054564953,0.0001234234199121905,0.36843501528104144,0.08007056415081024,0.28836444616317747,0.21844633171955744,0.07997423981626829,0.13847208867470423,16.6649188041687,26.766666666666666,1.0,0.03171052032460769,0.0007015078706899657,0.701507838567098,95.25885677337646,153.93333333333334,5.693482643044413,0.012867957741642991,2.5077272751635368e-05,0.025077271461486816,2,1e-06,32,64,32,0,1.0,0.0,3.9799110889434814,10.178851127624512,8.076835632324219,1.4884368181228638,0.9562714695930481,-0.9582139253616333,-0.01368040032684803,0.517357587814331,256,64,256,0,1.0,0.0,0.7663965821266174,5.291805744171143,2.589024782180786,0.8642588257789612,0.9559117555618286,-0.9477126598358154,0.0011061899131163955,0.3875333368778229,288,288,0,1.0,0.0,0.004471199775194224,0.2063297020892302,0.2063297020892302,0.022198463169236977,0.2063297020892302,0.2063297020892302,0.022198463169236977,0.00019660207424273193,0.0012202562538133007,0.3499999940395355,0.004471199775194224,0.011374782601528178,0.3400000035762787,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.2063297020892302,0.031103659731646378,0.17522604142626128,0.0,0.0,0.0,0.2063297020892302,0.2063297020892302,0.022198463169236977,0.00019660207424273193,0.0012202562538133007,0.3499999940395355,0.004471199775194224,0.011374782601528178,0.3400000035762787,0.2063297020892302,0.031103659731646378,0.17522604142626128,0.0,0.0,0.0,1,0,279,279
base,6,6,323.0667417049408,0.0009990232305719946,0.604557047287623,0.4776529332002004,0.11344544775784016,0.36420748954017956,0.020072259629766147,0.030970262844736376,0.002043952544530233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009515058436089158,0.9809698831278217,0.35,9.501355870564778,4.881408107356341e-08,0.001207682203191022,5.519997262954712,0.08831567155818144,5.503453902141094e-06,0.5036933143933614,0.0,1.0926199633097156e-05,0.0,1.0,1.0,0.003619643362859885,0.06912465617060662,0.044239780555168785,0.055299725383520126,0.999694679180781,0.9185078938802084,0.208946992456913,0.019739555940032006,0.0003327037867469092,0.19358643889427185,0.1768321990966797,99.39057285945933,0.0010926199633097156,0.01,1.0,0.0,0.5,0.030656895538171133,0.00011944806180205584,0.3705124805370967,0.07567335814237594,0.29483912587165834,0.21428090383609136,0.07554417923092842,0.13873672733704248,17.714704036712646,27.1,1.0,0.028517981866995494,0.0006398482791458566,0.639848256111145,105.272877852122,162.63333333333333,5.91249597146149,0.010961130307987333,2.5559291301154494e-05,0.025559290250142416,2,1e-06,32,64,32,0,1.0,0.0,3.9799110889434814,10.662704467773438,8.519281387329102,1.5864524841308594,0.9520883560180664,-0.9709124565124512,-0.009313562884926796,0.5337191820144653,256,64,256,0,1.0,0.0,0.9562223553657532,6.406860828399658,2.560786724090576,0.9801770448684692,0.9737057089805603,-0.958504319190979,0.004713991656899452,0.40749284625053406,288,288,0,1.0,0.0,0.004887838108146755,0.20537694667776427,0.20537694667776427,0.019144875773539145,0.20537694667776427,0.20537694667776427,0.019144875773539145,0.00018463766181835544,0.0011933081757107545,0.28999999165534973,0.004887838108146755,0.018039100214640495,0.28999999165534973,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.20537694667776427,0.028452263368914526,0.17692468191186586,0.0,0.0,0.0,0.20537694667776427,0.20537694667776427,0.019144875773539145,0.00018463766181835544,0.0011933081757107545,0.28999999165534973,0.004887838108146755,0.018039100214640495,0.28999999165534973,0.20537694667776427,0.028452263368914526,0.17692468191186586,0.0,0.0,0.0,1,0,279,279
base,7,7,321.55410051345825,0.0009986706662261067,0.6326286594072977,0.47048238714536034,0.10884397098173698,0.36163842131694157,0.017649380893756946,0.037809377225736775,0.0066312591234842936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013624184476454027,0.972751631047092,0.35,9.251105308532715,4.8878449139995915e-08,0.0012518485522984217,2.3261070966720583,0.2891891171534856,7.608169266859477e-06,0.17600391805171967,0.0,4.322727117869957e-05,0.0,1.0,1.0,0.001203868113225326,0.06764146263400714,0.0432905367265145,0.054113170504570006,0.9996864457925161,0.9181599934895833,0.1962259848912557,0.017349928338080644,0.000299452577989238,0.1943502128124237,0.17714455723762512,99.1232189110701,0.004322727117869957,0.01,1.0,0.0,0.5,0.028897263606389365,0.00011858258906916793,0.3680201341708501,0.07261923464636008,0.2954009016354879,0.20492451041936874,0.0724494726707538,0.13247503936290742,19.26537713209788,28.6,1.0,0.025021085484574237,0.0005564560657755161,0.5564560333887736,114.26424412727356,170.96666666666667,5.852953105351233,0.00967877145546178,4.2449095447712654e-05,0.04244909286499023,2,1e-06,32,64,32,0,1.0,0.0,6.349086761474609,11.071492195129395,9.167215347290039,1.185470461845398,0.9699362516403198,-0.963039755821228,-0.0018298547947779298,0.5717648863792419,256,64,256,0,1.0,0.0,0.8080586194992065,8.279845237731934,2.564537286758423,1.333823561668396,0.9999256134033203,-0.9774497151374817,0.003281021723523736,0.4362450838088989,288,288,0,1.0,0.0,0.014393867484024799,0.20438754186034203,0.20438754186034203,0.017192972513536613,0.20438754186034203,0.20438754186034203,0.017192972513536613,0.0002971969807490856,0.003644489372456173,0.25999999046325684,0.014393867484024799,0.06206272778058578,0.25999999046325684,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.20438754186034203,0.02820809728776415,0.17617944503823915,0.0,0.0,0.0,0.20438754186034203,0.20438754186034203,0.017192972513536613,0.0002971969807490856,0.003644489372456173,0.25999999046325684,0.014393867484024799,0.06206272778058578,0.25999999046325684,0.20438754186034203,0.02820809728776415,0.17617944503823915,0.0,0.0,0.0,1,0,279,279
base,8,8,321.8564021587372,0.0009982639653285047,0.6232014099756876,0.44550912380218505,0.10326812012741964,0.34224101255337397,0.01641992178435127,0.029227244853973388,0.005023974180221558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018419979455738478,0.963160041088523,0.35,8.998445351918539,4.9358168752178245e-08,0.0012573135260026901,0.7175408780574799,0.38780572737256686,7.05645381155288e-06,0.07389614482720692,0.0,9.549150281252627e-05,0.0,1.0,1.0,0.0007398858763432751,0.06693892329931259,0.042840913000206156,0.05355113943417867,0.9996957163016001,0.9188720703125,0.1886605014403661,0.016180407317976157,0.00023951453379898643,0.19564123451709747,0.17941881716251373,98.807879715968,0.009549150281252628,0.01,1.0,0.0,0.5,0.03145027787735065,0.00011892328748217552,0.35347167154153186,0.06891488457719484,0.28455679714679716,0.18407490154107412,0.06870647110044956,0.11536843081315358,20.974320594469706,30.066666666666666,1.0,0.023337298507491746,0.00046427424531430005,0.4642742236455282,126.69257100423177,181.73333333333332,5.976834291187738,0.00902351646994551,1.4754824534672177e-05,0.014754823843638102,2,1e-06,32,64,32,0,1.0,0.0,5.932094097137451,11.129837036132812,9.309773445129395,1.2340788841247559,0.9627034664154053,-0.9548935890197754,-0.002669035457074642,0.5773471593856812,256,64,256,0,1.0,0.0,0.6381734609603882,8.279845237731934,2.4362525939941406,1.3648521900177002,0.9999256134033203,-0.9800623655319214,-0.0008219356532208622,0.44441288709640503,288,288,0,1.0,0.0,0.02426215402355232,0.18383445839087167,0.18383445839087167,0.015724011075993378,0.18383445839087167,0.18383445839087167,0.015724011075993378,0.0008806597303700134,0.005964640388262403,0.28999999165534973,0.02426215402355232,0.05897253225678778,0.29999998211860657,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.18383445839087167,0.03395645786076784,0.14987799897789955,0.0,0.0,0.0,0.18383445839087167,0.18383445839087167,0.015724011075993378,0.0008806597303700134,0.005964640388262403,0.28999999165534973,0.02426215402355232,0.05897253225678778,0.29999998211860657,0.18383445839087167,0.03395645786076784,0.14987799897789955,0.0,0.0,0.0,1,0,279,279
base,9,9,321.4734454154968,0.0009978031724785245,0.6278462966283163,0.43202883501847583,0.09312890383104483,0.3388999360303084,0.014809249062091112,0.023613744974136354,0.0063736279805501304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02387287570313157,0.9522542485937369,0.35,8.632489808400472,5.08262021507259e-08,0.0012226904781224826,0.31567596265425285,0.29098063011964165,3.2461870735763415e-06,0.019622165570035578,0.0,0.0001654346968205709,0.0,1.0,1.0,0.0029325482125083604,0.06912465666731199,0.04423977993428707,0.0552997258802255,0.9996946692466736,0.918145751953125,0.17618289093176523,0.014580655253181855,0.0002285937276610639,0.1970663219690323,0.1825147271156311,98.44486647586724,0.01654346968205709,0.01,1.0,0.0,0.5,0.03288103727002938,0.00011992923840201305,0.3521122246980667,0.06211672400434812,0.2899955044190089,0.1598332221309344,0.06202435965339343,0.09780886322259903,21.191755374272663,29.833333333333332,1.0,0.021362196281552316,0.0004425751520708824,0.4425751288731893,128.9154810587565,183.03333333333333,6.051379560369158,0.007799114209289352,1.4612309958768796e-05,0.014612309137980143,2,1e-06,32,64,32,0,1.0,0.0,6.241207599639893,11.14852237701416,9.403581619262695,1.2090342044830322,0.965121865272522,-0.958220899105072,0.002541628433391452,0.5843906998634338,256,64,256,0,1.0,0.0,0.5197066068649292,8.279845237731934,2.3523879051208496,1.392982006072998,0.9999256134033203,-0.9830090403556824,0.002668388420715928,0.4507450759410858,288,288,0,1.0,0.0,0.026408070431672544,0.1771143116056919,0.1771143116056919,0.014735963350782791,0.1771143116056919,0.1771143116056919,0.014735963350782791,0.001684465720070081,0.00790947666195191,0.2800000011920929,0.026408070431672544,0.06453821792347855,0.29999998211860657,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.1771143116056919,0.025641805337121088,0.15147250766555467,0.0,0.0,0.0,0.1771143116056919,0.1771143116056919,0.014735963350782791,0.001684465720070081,0.00790947666195191,0.2800000011920929,0.026408070431672544,0.06453821792347855,0.29999998211860657,0.1771143116056919,0.025641805337121088,0.15147250766555467,0.0,0.0,0.0,1,0,279,279
base,10,10,320.00239634513855,0.0009972883382072953,0.6445320129394532,0.4183603515227636,0.08033716023589174,0.3380231944223245,0.013997749456514915,0.03015895001590252,0.011107317606608073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02994925429999612,0.9401014914000078,0.35,8.282643095652263,5.30334849221011e-08,0.0008709525801047373,0.11213646462808052,0.27389771590630213,9.836548864920283e-07,0.00393461932738622,0.0,0.00024999999999999995,0.0,1.0,1.0,0.011521788639947772,0.06703238599002362,0.04290072831014792,0.0536259088665247,0.9996802866458893,0.9185038248697917,0.16984469145536424,0.013769932681073745,0.00022781674051657318,0.19951751828193665,0.1872900128364563,98.03453744100868,0.024999999999999994,0.01,1.0,0.0,0.5,0.025865996008117995,0.00011849862579159284,0.34303664763768515,0.05360880891482035,0.28942783872286476,0.1506474147240321,0.05345670264214277,0.09719071139891942,21.49792242050171,30.266666666666666,1.0,0.020309880872567496,0.00044154300558147953,0.44154298305511475,131.2538028717041,186.5,6.094274193548387,0.007229984411969781,1.4090471199779132e-05,0.014090470472971598,2,1e-06,32,64,32,0,1.0,0.0,6.508744239807129,11.269584655761719,9.488142013549805,1.2198677062988281,0.967151403427124,-0.9645771980285645,0.010407776571810246,0.5865082144737244,256,64,256,0,1.0,0.0,0.4405371844768524,8.27984619140625,2.3367395401000977,1.471106767654419,0.9999256134033203,-0.9682245254516602,0.01481502503156662,0.45912203192710876,288,288,0,1.0,0.0,0.028695537628486825,0.17161512250701585,0.17161512250701585,0.013764876096198956,0.17161512250701585,0.17161512250701585,0.013764876096198956,0.0020614983746386015,0.009297758719153584,0.3499999940395355,0.028695537628486825,0.06592437048931553,0.3100000023841858,186,26880.0,1.0,0.0,0.0,0.0,0.0,0.17161512250701585,0.02028270810842514,0.15133241564035416,0.0,0.0,0.0,0.17161512250701585,0.17161512250701585,0.013764876096198956,0.0020614983746386015,0.009297758719153584,0.3499999940395355,0.028695537628486825,0.06592437048931553,0.3100000023841858,0.17161512250701585,0.02028270810842514,0.15133241564035416,0.0,0.0,0.0,1,0,279,279
